Produto/Unidade,Nível de Comercialização,U.F.,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
OVOS DE GALINHA BRANCO (A) (30 dz),ATACADO,AL,"183,52","179,46","203,36","217,92","217,31","215,87","209,21","215,58","239,66","238,74","232,42","233,26"
ABACAXI PÉROLA (un),PRODUTOR,AL,"2,12","2,58","1,97",,,,,,"2,08","1,74","1,89","1,87"
ARROZ LONGO FINO EM CASCA (50 kg),PRODUTOR,AL,"48,90","50,79","59,54","72,91","69,46","66,00",,,,,"77,08","77,86"
BANANA DA TERRA (1000 un),PRODUTOR,AL,"465,63","450,00","478,34","513,69","553,13","643,19","711,91","737,50","750,00","800,00","860,53","828,41"
BANANA PRATA (1000 un),PRODUTOR,AL,"98,75","88,81","85,00","95,11","99,17","111,93","159,53","172,50","155,42","150,00","164,65","159,16"
BATATA-DOCE (kg),PRODUTOR,AL,"2,12","2,15","2,12","2,24","1,94","1,83","2,72","2,73","2,36","2,94","3,11","2,65"
BOI GORDO (15 kg),PRODUTOR,AL,"302,14","299,88","299,36","298,52","297,81","299,53","300,81","297,72","294,22","294,65","290,75","289,38"
CANA DE AÇÚCAR (t),PRODUTOR,AL,"156,78","143,11","134,91","144,22","157,52","146,15","148,58","146,64","131,11","141,65","141,71","141,71"
CARNE CAPRINA CARCAÇA (kg),PRODUTOR,AL,"22,82","22,95","23,63","23,89","23,88","23,55","23,62","24,64","25,00","24,42","24,27","25,00"
CASTANHA DE CAJU EM CASCA (kg),PRODUTOR,AL,"4,25","4,32",,,,,,,,,,
COCO SECO (un),PRODUTOR,AL,"1,18","1,13","0,96","1,10","1,25","1,35","1,45","1,32","1,00","1,20","1,48","1,48"
COCO VERDE (un),PRODUTOR,AL,"0,93","0,80","0,86","1,25","1,20","1,20","1,15","1,31","1,50",,"1,40","1,38"
FARINHA DE MANDIOCA FINA SECA (50 kg),PRODUTOR,AL,"144,38","138,49","177,45","185,24","170,63","169,09","177,38","169,03","154,32","178,13","174,85","169,38"
FEIJÃO COMUM CORES (60 kg),PRODUTOR,AL,"346,50","330,00","337,50",,,,,"475,00","497,73","450,00",,
FRANGO VIVO (kg),PRODUTOR,AL,,"4,93","5,78","7,09","7,10","6,98","7,35","7,71","7,47","7,70","7,58","6,98"
INHAME (60 kg),PRODUTOR,AL,"217,05","247,89","242,46","236,56","244,25","258,82","272,69","254,71","236,88","264,80","286,94","281,33"
LARANJA LIMA (1000 un),PRODUTOR,AL,"217,50","295,71","270,54","151,25","101,67","113,07","120,60","143,75","160,63","173,75","194,21","209,36"
LEITE DE VACA IN NATURA (l),PRODUTOR,AL,"1,94","1,63","1,87","1,99","2,00","2,09","2,48","2,64","2,53","2,46","2,50","2,44"
MARACUJÁ (kg),PRODUTOR,AL,"2,34","2,81","2,28","2,46","2,55","2,68","2,59","2,73","3,21","3,42","3,72","3,52"
MEL DE ABELHA (kg),PRODUTOR,AL,"17,50","17,50","16,44",,,,,,,"15,55","15,88","15,04"
MILHO EM GRÃOS (60 kg),PRODUTOR,AL,"84,63","86,89","90,87","93,87",,,,,,"72,94","75,48","77,39"
OVOS DE GALINHA GRANDE BRANCO (30 dz),PRODUTOR,AL,"119,17","139,29","145,00","165,00","150,00","150,00","150,00",,"173,75","176,25","171,58","163,88"
PINHA (kg),PRODUTOR,AL,,"1,53",,,,,,,,,,
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AL,"426,56","436,84","740,87","550,00","463,64","500,00","541,67","519,57","584,09","687,50","800,00","777,27"
SUÍNO VIVO (kg),PRODUTOR,AL,"8,40","8,40","8,40","7,90","7,70","7,74","8,24","8,40","8,40","8,70","9,29","9,95"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),VAREJO,AL,"5,28","5,29","5,26","5,36","5,35","5,34","5,30","5,18","5,40","5,39","5,30","5,98"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),VAREJO,AL,"3,74","3,73",,"4,28","4,61","4,05","3,95","3,79","3,95","3,81","3,94","4,25"
AÇÚCAR CRISTAL (kg),VAREJO,AL,"3,75","3,81","3,83","4,00","4,05","4,03","4,12","4,06","4,04","4,01","3,93","3,81"
BATATA INGLESA (kg),VAREJO,AL,"5,18","6,15","6,90","7,54","6,42","5,80","4,99","4,24","4,66","5,94","5,39","5,71"
